BANC,cell_type,super_class,consensus_edges,null_mean,conservation_z
720575941722168890,AN27X016,ascending,8,0.14,22.65
720575941514047052,AN02A002,ascending,56,5.56,22.45
720575941626175643,DNg16,descending,18,0.56,22.4
720575941575744655,DNpe036,descending,7,0.06,22.35
720575941470933824,DNge133,descending,8,0.1,21.91
720575941481985475,DNp69,descending,6,0.08,21.82
720575941489638094,AN17B012,ascending,6,0.08,21.82
720575941614906387,MDN,descending,6,0.08,21.82
720575941561414034,ANXXX308,ascending,6,0.08,21.82
720575941550687805,DNge050,descending,15,0.62,21.79
720575941563183016,DNg74_b,descending,14,0.4,21.5
720575941457365485,AN09B018_a,ascending,3,0.02,21.29
720575941503767127,DNpe003,descending,3,0.02,21.29
720575941507336517,AN17A015,ascending,3,0.02,21.29
720575941433327374,AN08B026,ascending,3,0.02,21.29
720575941519959768,AN06B039,ascending,3,0.02,21.29
720575941526849357,DNg107,descending,3,0.02,21.29
720575941568894202,DNp104,descending,3,0.02,21.29
720575941456625567,DNg90,descending,3,0.02,21.29
720575941428310100,LN-DN2,sensory_descending,3,0.02,21.29
720575941573658184,DNg30,descending,3,0.02,21.29
720575941483798781,AN10B015,ascending,3,0.02,21.29
720575941624437756,DNpe016,descending,3,0.02,21.29
720575941407564718,AN12B011,ascending,3,0.02,21.29
720575941527245337,AN17A002,ascending,3,0.02,21.29
720575941534435338,DNp22,descending,3,0.02,21.29
720575941569348858,DNge083,descending,3,0.02,21.29
720575941658613784,DNge172,descending,3,0.02,21.29
720575941574322427,AN10B021,ascending,3,0.02,21.29
720575941585004127,AN19A018_a,ascending,3,0.02,21.29
720575941563551656,ANXXX109,ascending,3,0.02,21.29
720575941588978500,AN09B001,ascending,3,0.02,21.29
720575941633187488,AN06A015,ascending,3,0.02,21.29
720575941480954019,DNpe031,descending,3,0.02,21.29
720575941499077089,DNpe027,descending,3,0.02,21.29
720575941594006891,AN09B001,ascending,3,0.02,21.29
720575941574657032,AN06B040,ascending,3,0.02,21.29
720575941527232514,ANXXX151,ascending,3,0.02,21.29
720575941592893992,DNp49,descending,3,0.02,21.29
720575941671658407,DNp104,descending,3,0.02,21.29
720575941579780597,AN18B001,ascending,7,0.12,21.17
720575941550196797,DNbe007,descending,7,0.12,21.17
720575941703187674,DNg87,descending,5,0.06,20.8
720575941527162905,DNb05,descending,5,0.06,20.8
720575941515969123,DNg60,descending,5,0.06,20.8
720575941582293369,AN17A012,ascending,5,0.06,20.8
720575941595201573,AN05B105,ascending,5,0.06,20.8
720575941573266171,DNge054,descending,5,0.06,20.8
720575941438469676,DNge121,descending,5,0.06,20.8
720575941572471454,DNg74_b,descending,11,0.34,20.73
720575941438468626,AN08B023,ascending,8,0.12,20.65
720575941508298786,DNg43,descending,8,0.12,20.65
720575941477419828,DNge141,descending,9,0.18,20.36
720575941403931248,ANXXX092,ascending,4,0.04,20.21
720575941552768062,DNge135,descending,4,0.04,20.21
720575941564432786,DNge079,descending,4,0.04,20.21
720575941543093021,DNge042,descending,4,0.04,20.21
720575941476515636,AN05B023,ascending,4,0.04,20.21
720575941630522850,DNge069,descending,4,0.04,20.21
720575941541075069,AN05B098,ascending,4,0.04,20.21
720575941639508853,AN17A050,ascending,4,0.04,20.21
720575941507073303,DNp02,descending,4,0.04,20.21
720575941513811532,DNbe006,descending,4,0.04,20.21
720575941652845041,ANXXX033,ascending,4,0.04,20.21
720575941612374425,DNge173,descending,4,0.04,20.21
720575941535975873,DNg105,descending,7,0.14,19.77
720575941463843597,DNp45,descending,6,0.1,19.67
720575941578384629,DNpe025,descending,6,0.1,19.67
720575941470003677,aSP22,descending,6,0.1,19.67
720575941448018196,DNge142,descending,10,0.24,19.05
720575941562215469,DNg98,descending,22,1.2,18.68
720575941585933190,AN05B009,ascending,9,0.24,18.58
720575941430120289,DNge023,descending,5,0.08,18.14
720575941431111087,ANXXX026,ascending,5,0.08,18.14
720575941461784260,AN08B027,ascending,5,0.08,18.14
720575941430607753,DNg111,descending,5,0.08,18.14
720575941480480963,DNge135,descending,5,0.08,18.14
720575941555196929,DNge123,descending,5,0.08,18.14
720575941502262411,DNge007,descending,9,0.26,18.13
720575941662395704,DNd02,descending,6,0.12,18.09
720575941519028396,AN05B097,ascending,6,0.12,18.09
720575941453274025,AN08B023,ascending,6,0.12,18.09
720575941581684601,DNa06,descending,7,0.18,17.75
720575941559176942,DNb04,descending,6,0.08,17.56
